title,rating,ratingDescription,release_year,user_rating_size
American Horror Story,TV-MA,110,2016,80
Orange Is the New Black,TV-MA,110,2016,80
Inside Russia's Toughest Prison,TV-14,90,2011,82
Black Mirror,TV-MA,110,2016,80
Bates Motel,TV-14,90,2016,80
The 100,NR,124,2016,80
Marvel's Iron Fist,TV-MA,110,2017,80
Grace and Frankie,TV-MA,110,2017,80
How to Get Away with Murder,TV-14,90,2016,80
The Get Down,TV-MA,110,2017,80
Love,TV-MA,110,2017,82
The Flash,TV-PG,70,2016,80
The OA,TV-MA,110,2016,82
Stranger Things,TV-14,90,2016,80
Ingobernable,TV-MA,110,2017,80
Zootopia,PG,60,2016,80
Meet the Blacks,R,100,2016,80
Finding Dory,PG,60,2016,80
Santa Clarita Diet,TV-MA,110,2017,80
Sausage Party,R,100,2016,80
Pete's Dragon,PG,60,2016,80
Kevin Hart: What Now?,R,100,2016,80
Girlboss,TV-MA,110,2017,80
The Discovery,TV-MA,110,2017,82
Sand Castle,TV-MA,110,2017,80
Sandy Wexler,TV-14,90,2017,80
Chewing Gum,TV-MA,110,2017,80
Cheer Squad,TV-PG,70,2016,80
Only for One Night,TV-MA,110,2016,80
The Life Aquatic with Steve Zissou,R,100,2004,82
Lucky Number Slevin,R,100,2006,82
The L Word,TV-MA,110,2009,82
The Office (U.S.),TV-14,90,2012,80
30 Rock,TV-14,90,2012,80
Mad Men,TV-14,90,2014,80
It's Always Sunny in Philadelphia,TV-MA,110,2016,80
Californication,TV-MA,110,2014,80
Parks and Recreation,TV-14,90,2015,80
Friends,TV-14,90,2003,80
Shameless (U.S.),TV-MA,110,2016,80
Portlandia,TV-14,90,2016,80
New Girl,TV-14,90,2016,80
Don't Trust the B---- in Apartment 23,TV-14,90,2012,82
Friends with Benefits,TV-14,90,2011,82
The Client List,TV-14,90,2013,80
Halt and Catch Fire,TV-14,90,2016,82
5 to 7,R,100,2014,82
Marvel's Iron Fist,TV-MA,110,2017,80
Chef's Table,TV-MA,110,2017,82
Documentary Now!,TV-14,90,2016,82
Grace and Frankie,TV-MA,110,2017,80
Better Call Saul,TV-MA,110,2016,80
The Get Down,TV-MA,110,2017,80
Schitt's Creek,TV-14,90,2016,80
Lovesick,TV-MA,110,2016,82
Flaked,TV-MA,110,2016,82
Master of None,TV-MA,110,2015,82
Chelsea,TV-MA,110,2017,82
Abstract: The Art of Design,TV-14,90,2017,82
Cooper Barrett's Guide to Surviving Life,TV-14,90,2016,82
The Great British Baking Show,TV-PG,70,2016,80
Life in Pieces,TV-14,90,2015,80
Crazy Ex-Girlfriend,TV-14,90,2017,82
Easy,TV-MA,110,2016,82
Santa Clarita Diet,TV-MA,110,2017,80
No Tomorrow,TV-14,90,2016,82
Minimalism: A Documentary About the Important Things,TV-PG,70,2016,82
Girlboss,TV-MA,110,2017,80
Hot Girls Wanted: Turned On,TV-MA,110,2017,82
The Discovery,TV-MA,110,2017,82
13 Reasons Why,TV-MA,110,2017,80
Sandy Wexler,TV-14,90,2017,80
Chewing Gum,TV-MA,110,2017,80
Win It All,TV-MA,110,2017,82
MerlÃ­,TV-PG,70,2015,82
Amy Schumer: The Leather Special,TV-MA,110,2017,82
Louis C.K. 2017,TV-MA,110,2017,80
Dave Chappelle,TV-MA,110,2017,80
Almost Adults,NR,124,2016,82
The Brothers,R,100,2001,82
Skins,TV-MA,110,2013,82
The Cleveland Show,TV-14,90,2012,80
Absolutely Fabulous,TV-14,90,2012,80
Don't Trust the B---- in Apartment 23,TV-14,90,2012,82
Raising Hope,TV-14,90,2013,80
Come Fly With Me,TV-14,90,2010,82
Orange Is the New Black,TV-MA,110,2016,80
Brickleberry,TV-MA,110,2014,80
Bates Motel,TV-14,90,2016,80
BoJack Horseman,TV-MA,110,2016,82
Being Mary Jane: The Series,TV-14,90,2016,82
Documentary Now!,TV-14,90,2016,82
Grace and Frankie,TV-MA,110,2017,80
Unbreakable Kimmy Schmidt,TV-14,90,2016,82
The Get Down,TV-MA,110,2017,80
Love,TV-MA,110,2017,82
Bordertown,TV-14,90,2016,80
Jane The Virgin,TV-14,90,2016,80
Schitt's Creek,TV-14,90,2016,80
Dope,R,100,2015,80
Lovesick,TV-MA,110,2016,82
The Carmichael Show,TV-14,90,2016,80
Cooper Barrett's Guide to Surviving Life,TV-14,90,2016,82
The Great British Baking Show,TV-PG,70,2016,80
November Rule,TV-14,90,2015,82
Life in Pieces,TV-14,90,2015,80
Crazy Ex-Girlfriend,TV-14,90,2017,82
Easy,TV-MA,110,2016,82
Haters Back Off,TV-14,90,2016,80
Kubo and the Two Strings,PG,60,2016,80
Skins,TV-MA,110,2017,82
A Weekend with the Family,TV-MA,110,2016,82
Crazyhead,TV-MA,110,2016,82
Queen of Katwe,PG,60,2016,81
Little Boxes,TV-14,90,2016,80
Deidra & Laney Rob a Train,TV-14,90,2017,82
Girlboss,TV-MA,110,2017,80
Hot Girls Wanted: Turned On,TV-MA,110,2017,82
13 Reasons Why,TV-MA,110,2017,80
Hurricane Bianca,TV-MA,110,2016,82
Honeytrap,NR,124,2014,82
Greenleaf,TV-14,90,2016,80
Lazy Eye,TV-MA,110,2016,82
Like Cotton Twines,NR,124,2016,82
The Wedding Party,TV-14,90,2016,82
Dave Chappelle,TV-MA,110,2017,80
Only for One Night,TV-MA,110,2016,80
Boy Bye,TV-MA,110,2016,82
Almost Adults,NR,124,2016,82
Nancy Drew,PG,60,2007,82
30 Rock,TV-14,90,2012,80
Nurse Jackie,TV-MA,110,2015,80
Parks and Recreation,TV-14,90,2015,80
Drop Dead Diva,TV-PG,70,2014,82
Gilmore Girls,TV-14,90,2006,80
Parenthood,TV-14,90,2014,80
Life Unexpected,TV-PG,70,2010,80
Portlandia,TV-14,90,2016,80
New Girl,TV-14,90,2016,80
Don't Trust the B---- in Apartment 23,TV-14,90,2012,82
Raising Hope,TV-14,90,2013,80
Being Human (U.S.),TV-14,90,2014,80
Friends with Benefits,TV-14,90,2011,82
The Carrie Diaries,TV-14,90,2013,82
Baby Daddy,TV-14,90,2016,80
Halt and Catch Fire,TV-14,90,2016,82
The Angriest Man in Brooklyn,R,100,2014,82
5 to 7,R,100,2014,82
Chef's Table,TV-MA,110,2017,82
Grace and Frankie,TV-MA,110,2017,80
Unbreakable Kimmy Schmidt,TV-14,90,2016,82
The Get Down,TV-MA,110,2017,80
Sense8,TV-MA,110,2017,80
Love,TV-MA,110,2017,82
Bordertown,TV-14,90,2016,80
Girlfriends' Guide to Divorce,TV-14,90,2015,80
Schitt's Creek,TV-14,90,2016,80
The Carmichael Show,TV-14,90,2016,80
Chelsea,TV-MA,110,2017,82
Abstract: The Art of Design,TV-14,90,2017,82
Cooper Barrett's Guide to Surviving Life,TV-14,90,2016,82
The Great British Baking Show,TV-PG,70,2016,80
Life in Pieces,TV-14,90,2015,80
Crazy Ex-Girlfriend,TV-14,90,2017,82
Fried,TV-MA,110,2015,82
The Great Gilly Hopkins,PG,60,2016,80
The Magicians,TV-MA,110,2016,80
One Day at a Time,TV-PG,70,2017,82
No Tomorrow,TV-14,90,2016,82
Hot Girls Wanted: Turned On,TV-MA,110,2017,82
13 Reasons Why,TV-MA,110,2017,80
Better Off Single,TV-MA,110,2016,82
Sandy Wexler,TV-14,90,2017,80
Chewing Gum,TV-MA,110,2017,80
The Matchbreaker,PG,60,2016,80
Tramps,TV-MA,110,2017,82
Slam,TV-MA,110,2017,82
Cheer Squad,TV-PG,70,2016,80
Almost Adults,NR,124,2016,82
The Waterboy,PG-13,80,1998,80
10 Things I Hate About You,PG-13,80,1999,80
Grease,PG,60,1978,80
How to Lose a Guy in 10 Days,PG-13,80,2003,80
The Benchwarmers,PG-13,80,2006,80
Step Up,PG-13,80,2006,80
High School Musical 2,TV-G,35,2007,80
Twilight,PG-13,80,2008,80
Coraline,PG,60,2009,80
Hannah Montana: The Movie,G,35,2009,80
The Office (U.S.),TV-14,90,2012,80
Friday Night Lights,TV-PG,70,2010,80
StarStruck,TV-G,35,2010,82
Grey's Anatomy,TV-14,90,2016,80
Prison Break,TV-14,90,2008,80
90210,TV-14,90,2013,80
Gossip Girl,TV-14,90,2012,80
How I Met Your Mother,TV-PG,70,2014,80
Glee,TV-PG,70,2015,80
The Vampire Diaries,TV-14,90,2017,80
Family Guy,TV-MA,110,2015,80
Criminal Minds,TV-14,90,2016,80
Friends,TV-14,90,2003,80
Mean Girls 2,PG-13,80,2011,82
The Secret Life of the American Teenager,TV-14,90,2013,80
That '70s Show,TV-14,90,2005,80
Gilmore Girls,TV-14,90,2006,80
Parenthood,TV-14,90,2014,80
Heartland,TV-PG,70,2015,80
Pretty Little Liars,TV-14,90,2016,80
Shameless (U.S.),TV-MA,110,2016,80
Switched at Birth,TV-14,90,2015,80
New Girl,TV-14,90,2016,80
Hart of Dixie,TV-PG,70,2014,80
The Client List,TV-14,90,2013,80
The Carrie Diaries,TV-14,90,2013,82
Safe Haven,PG-13,80,2013,80
Baby Daddy,TV-14,90,2016,80
The Night Shift,TV-14,90,2015,80
Reign,TV-14,90,2015,80
Grace and Frankie,TV-MA,110,2017,80
How to Get Away with Murder,TV-14,90,2016,80
Fuller House,TV-G,35,2016,80
Finding Dory,PG,60,2016,80
Gilmore Girls: A Year in the Life,TV-14,90,2016,80
13 Reasons Why,TV-MA,110,2017,80
Gabriel lglesias: Iâ€™m Sorry For What I Said When I Was Hungry,TV-14,90,2016,80
Amy Schumer: The Leather Special,TV-MA,110,2017,82
Cheer Squad,TV-PG,70,2016,80
Dave Chappelle,TV-MA,110,2017,80
The Waterboy,PG-13,80,1998,80
Grease,PG,60,1978,80
The Wedding Planner,PG-13,80,2001,82
Blow,R,100,2001,80
High School Musical,TV-G,35,2006,80
High School Musical 2,TV-G,35,2007,80
Twilight,PG-13,80,2008,80
Hannah Montana: The Movie,G,35,2009,80
The Office (U.S.),TV-14,90,2012,80
Bones,TV-14,90,2016,80
Law & Order: Special Victims Unit,TV-14,90,2015,80
Prison Break,TV-14,90,2008,80
Nurse Jackie,TV-MA,110,2015,80
NCIS,TV-14,90,2016,80
Gossip Girl,TV-14,90,2012,80
How I Met Your Mother,TV-PG,70,2014,80
Supernatural,TV-14,90,2016,80
Parks and Recreation,TV-14,90,2015,80
Glee,TV-PG,70,2015,80
The Vampire Diaries,TV-14,90,2017,80
Criminal Minds,TV-14,90,2016,80
Friends,TV-14,90,2003,80
Mean Girls 2,PG-13,80,2011,82
The Secret Life of the American Teenager,TV-14,90,2013,80
One Tree Hill,TV-14,90,2011,80
Army Wives,TV-14,90,2013,80
Gilmore Girls,TV-14,90,2006,80
Private Practice,TV-14,90,2012,80
Parenthood,TV-14,90,2014,80
Pretty Little Liars,TV-14,90,2016,80
Shameless (U.S.),TV-MA,110,2016,80
New Girl,TV-14,90,2016,80
Revenge,TV-PG,70,2015,80
Scandal,TV-14,90,2016,80
Magic Mike,R,100,2012,80
Trouble with the Curve,PG-13,80,2012,80
Orange Is the New Black,TV-MA,110,2016,80
Baby Daddy,TV-14,90,2016,80
The Night Shift,TV-14,90,2015,80
The Originals,TV-14,90,2016,80
Home,PG,60,2015,80
How to Get Away with Murder,TV-14,90,2016,80
Zootopia,PG,60,2016,80
Finding Dory,PG,60,2016,80
Sausage Party,R,100,2016,80
Skin Wars,TV-14,90,2016,80
Girlboss,TV-MA,110,2017,80
13 Reasons Why,TV-MA,110,2017,80
Felipe Neto: My Life Makes No Sense,TV-MA,110,2017,82
Cheer Squad,TV-PG,70,2016,80
Lost,TV-14,90,2010,80
Weeds,TV-MA,110,2012,80
The Tudors,TV-MA,110,2010,82
Grey's Anatomy,TV-14,90,2016,80
Lie to Me,TV-14,90,2010,80
Prison Break,TV-14,90,2008,80
Gossip Girl,TV-14,90,2012,80
Glee,TV-PG,70,2015,80
The Vampire Diaries,TV-14,90,2017,80
The Secret Life of the American Teenager,TV-14,90,2013,80
Drop Dead Diva,TV-PG,70,2014,82
Gilmore Girls,TV-14,90,2006,80
Charmed,TV-PG,70,2005,80
White Collar,TV-PG,70,2014,80
House of Cards,TV-MA,110,2016,80
Pretty Little Liars,TV-14,90,2016,80
The Killing,TV-14,90,2014,80
Shameless (U.S.),TV-MA,110,2016,80
Hart of Dixie,TV-PG,70,2014,80
Once Upon a Time,TV-PG,70,2016,80
Scandal,TV-14,90,2016,80
The Client List,TV-14,90,2013,80
Unconditional,PG-13,80,2012,82
Bates Motel,TV-14,90,2016,80
The Blacklist,TV-14,90,2016,80
The Fosters,TV-14,90,2016,80
Reign,TV-14,90,2015,80
The Originals,TV-14,90,2016,80
The 100,NR,124,2016,80
Witches of East End,TV-14,90,2014,82
Bitten,TV-MA,110,2016,80
London Has Fallen,R,100,2016,80
Marvel's Jessica Jones,TV-MA,110,2015,80
Bloodline,TV-MA,110,2016,82
Grace and Frankie,TV-MA,110,2017,80
Velvet,TV-14,90,2016,82
How to Get Away with Murder,TV-14,90,2016,80
The Crown,TV-MA,110,2016,80
Jane The Virgin,TV-14,90,2016,80
Kurt Seyit & Sura,TV-14,90,2014,82
The Returned,TV-14,90,2015,82
The Girl in the Book,TV-MA,110,2015,82
Quantico,TV-14,90,2016,80
Life in Pieces,TV-14,90,2015,80
Ingobernable,TV-MA,110,2017,80
Girlboss,TV-MA,110,2017,80
13 Reasons Why,TV-MA,110,2017,80
MerlÃ­,TV-PG,70,2015,82
Greenleaf,TV-14,90,2016,80
100 Metros,TV-MA,110,2016,82
Bones,TV-14,90,2016,80
Dexter,TV-MA,110,2013,80
Leverage,TV-PG,70,2012,80
Grey's Anatomy,TV-14,90,2016,80
Lie to Me,TV-14,90,2010,80
Prison Break,TV-14,90,2008,80
NCIS,TV-14,90,2016,80
Burn Notice,TV-14,90,2013,80
Breaking Bad,TV-MA,110,2013,80
Criminal Minds,TV-14,90,2016,80
White Collar,TV-PG,70,2014,80
Luther,TV-14,90,2015,80
Hawaii Five-0,TV-14,90,2016,80
House of Cards,TV-MA,110,2016,80
Last Man Standing,TV-PG,70,2015,80
Revenge,TV-PG,70,2015,80
Person of Interest,TV-14,90,2016,80
Scandal,TV-14,90,2016,80
Touch,TV-14,90,2012,80
Sherlock,TV-14,90,2016,80
Breakout Kings,TV-14,90,2012,80
The Client List,TV-14,90,2013,80
Arrow,TV-14,90,2015,80
The Following,TV-14,90,2015,82
"Drugs, Inc.",TV-14,90,2015,82
Longmire,TV-14,90,2016,80
Ripper Street,TV-MA,110,2016,82
The Fall,TV-MA,110,2016,80
Death in Paradise,TV-14,90,2016,80
Marvel's Agents of S.H.I.E.L.D.,TV-PG,70,2016,80
Crossing Lines,TV-14,90,2015,80
London Has Fallen,R,100,2016,80
Halt and Catch Fire,TV-14,90,2016,82
Marvel's Iron Fist,TV-MA,110,2017,80
The Honorable Woman,TV-MA,110,2014,82
Transporter: The Series,TV-MA,110,2014,82
Gotham,TV-14,90,2016,80
Better Call Saul,TV-MA,110,2016,80
How to Get Away with Murder,TV-14,90,2016,80
Narcos,TV-MA,110,2016,80
American Odyssey,TV-14,90,2015,82
Aquarius,TV-MA,110,2015,82
Hap and Leonard,TV-MA,110,2016,80
Rosewood,TV-14,90,2015,80
Quantico,TV-14,90,2016,80
Limitless,TV-14,90,2016,80
Travelers,TV-MA,110,2016,80
The Doctor Blake Mysteries,TV-MA,110,2016,80
I.T,NR,124,2016,82
Bordertown,TV-MA,110,2016,82
The Office (U.S.),TV-14,90,2012,80
Grey's Anatomy,TV-14,90,2016,80
Law & Order: Special Victims Unit,TV-14,90,2015,80
Lie to Me,TV-14,90,2010,80
Prison Break,TV-14,90,2008,80
90210,TV-14,90,2013,80
Gossip Girl,TV-14,90,2012,80
How I Met Your Mother,TV-PG,70,2014,80
Parks and Recreation,TV-14,90,2015,80
The Vampire Diaries,TV-14,90,2017,80
Criminal Minds,TV-14,90,2016,80
Friends,TV-14,90,2003,80
The West Wing,TV-14,90,2005,80
Parenthood,TV-14,90,2014,80
White Collar,TV-PG,70,2014,80
Blue Bloods,TV-14,90,2016,80
House of Cards,TV-MA,110,2016,80
Pretty Little Liars,TV-14,90,2016,80
The Killing,TV-14,90,2014,80
Shameless (U.S.),TV-MA,110,2016,80
New Girl,TV-14,90,2016,80
Revenge,TV-PG,70,2015,80
Person of Interest,TV-14,90,2016,80
Once Upon a Time,TV-PG,70,2016,80
Scandal,TV-14,90,2016,80
Forensic Files,TV-14,90,2011,80
Sherlock,TV-14,90,2016,80
The Client List,TV-14,90,2013,80
Orange Is the New Black,TV-MA,110,2016,80
Rectify,TV-14,90,2016,82
Black Mirror,TV-MA,110,2016,80
Bates Motel,TV-14,90,2016,80
The Fall,TV-MA,110,2016,80
The Blacklist,TV-14,90,2016,80
Being Mary Jane: The Series,TV-14,90,2016,82
American Crime,TV-14,90,2016,82
Madam Secretary,TV-14,90,2016,80
Sense8,TV-MA,110,2017,80
Scream,TV-14,90,2016,82
Rosewood,TV-14,90,2015,80
The Great British Baking Show,TV-PG,70,2016,80
Quantico,TV-14,90,2016,80
Limitless,TV-14,90,2016,80
American Crime Story: The People v. O.J. Simpson,TV-MA,110,2016,80
Santa Clarita Diet,TV-MA,110,2017,80
No Tomorrow,TV-14,90,2016,82
Girlboss,TV-MA,110,2017,80
13 Reasons Why,TV-MA,110,2017,80
The Doctor Blake Mysteries,TV-MA,110,2016,80
Greenleaf,TV-14,90,2016,80
The Nightmare Before Christmas,PG,60,1993,80
Scooby-Doo,PG,60,2002,80
Chicken Little,G,35,2005,80
Teenage Mutant Ninja Turtles,PG,60,2007,82
Star Wars: The Clone Wars,PG,60,2008,80
Coraline,PG,60,2009,80
The Smurfs and the Magic Flute,G,35,1976,82
We're Back! A Dinosaur's Story,G,35,1993,82
Thomas & Friends: Thomas & the Runaway Kite,TV-Y,10,2010,82
Dino Squad,TV-Y7,41,2008,82
Cars Toons: Mater's Tall Tales,TV-G,35,2010,80
LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,10,2010,82
Star Wars: The Clone Wars,TV-PG,70,2014,80
Phineas and Ferb,TV-G,35,2012,80
The Batman,TV-Y7,41,2007,80
Justice League,TV-Y7-FV,42,2003,80
Justice League Unlimited,TV-Y7-FV,42,2005,82
Mighty Morphin Power Rangers,TV-Y7-FV,42,2010,80
Young Justice,TV-PG,70,2012,80
The Super Mario Bros. Super Show!,TV-Y7,41,1989,82
Power Rangers Zeo,TV-Y7-FV,42,1996,82
Oscar's Oasis,TV-G,35,2011,82
Transformers Prime,TV-Y7-FV,42,2013,82
The Adventures of Chuck & Friends,TV-Y,10,2011,82
Transformers: Rescue Bots,TV-Y7,41,2016,82
Thomas & Friends: King of the Railway,TV-G,35,2013,82
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,42,2013,82
Max Steel,TV-Y7-FV,42,2014,82
Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,42,2013,82
Agent F.O.X.,PG,60,2014,82
VeggieTales in the House,TV-Y,10,2016,82
Thunder and the House Of Magic,TV-G,35,2013,82
All Hail King Julien,TV-Y7-FV,42,2016,80
Kong: King of the Apes,TV-Y7-FV,42,2016,82
Marvel Super Hero Adventures: Frost Fight!,PG,60,2015,82
Slugterra: Slug Fu Showdown,TV-Y7-FV,42,2015,82
Dinotrux,TV-Y7-FV,42,2017,82
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,42,2017,82
Lego DC Comics: Batman Be-Leaguered,TV-Y7,41,2014,82
Trollhunters,TV-Y7-FV,42,2016,80
Power Rangers Dino Charge,TV-Y7,41,2015,82
Bunks,TV-PG,70,2013,82
The Jungle Book,PG,60,2016,80
The Angry Birds Movie,PG,60,2016,80
The Secret Life of Pets,PG,60,2016,81
The Furchester Hotel,TV-Y,10,2015,82
Marvel's Hulk: Where Monsters Dwell,PG,60,2016,82
Angry Birds,TV-G,35,2013,82
Talking Tom and Friends,TV-G,35,2016,80
Nexo Knights,TV-Y7-FV,42,2015,82
The Nightmare Before Christmas,PG,60,1993,80
An Extremely Goofy Movie,G,35,1999,80
Scooby-Doo,PG,60,2002,80
The Iron Giant,PG,60,1999,80
Star Wars: The Clone Wars,PG,60,2008,80
Cars Toons: Mater's Tall Tales,TV-G,35,2010,80
The Batman,TV-Y7,41,2007,80
Justice League,TV-Y7-FV,42,2003,80
Justice League Unlimited,TV-Y7-FV,42,2005,82
The Cat in the Hat Knows a Lot About That!,TV-Y,10,2014,82
Mighty Morphin Power Rangers,TV-Y7-FV,42,2010,80
Bob the Builder,TV-Y,10,2015,82
Beyblade: Metal Fusion,TV-Y7,41,2009,82
Ninja Turtles: The Next Mutation,TV-Y7-FV,42,1997,82
Transformers Prime,TV-Y7-FV,42,2013,82
DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,70,2008,82
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,42,2015,80
Transformers: Rescue Bots,TV-Y7,41,2016,82
Goosebumps,TV-Y7,41,1998,80
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,42,2011,82
Super Buddies,G,35,2013,82
Tad: The Lost Explorer,TV-PG,70,2012,82
PokÃ©mon: Indigo League,TV-Y,10,2000,80
Ratchet and Clank,PG,60,2016,80
Pac-Man and the Ghostly Adventures,TV-Y7,41,2014,82
Iron Man & Captain America: Heroes United,PG,60,2014,82
Power Rangers Super Megaforce,TV-Y7,41,2014,82
Chuggington,TV-Y,10,2015,82
All Hail King Julien,TV-Y7-FV,42,2016,80
The Adventures of Puss in Boots,TV-Y7-FV,42,2016,80
Kong: King of the Apes,TV-Y7-FV,42,2016,82
Marvel Super Hero Adventures: Frost Fight!,PG,60,2015,82
Some Assembly Required,TV-G,35,2015,82
Dinotrux,TV-Y7-FV,42,2017,82
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,42,2017,82
Kulipari: An Army of Frogs,TV-Y7-FV,42,2016,82
Transformers: Robots in Disguise,TV-Y7,41,2016,82
Robocar Poli,TV-Y,10,2012,82
LEGO Bionicle: The Journey to One,TV-Y7-FV,42,2016,82
Lego DC Comics: Batman Be-Leaguered,TV-Y7,41,2014,82
Voltron: Legendary Defender,TV-Y7-FV,42,2017,82
Trollhunters,TV-Y7-FV,42,2016,80
Buddy Thunderstruck,TV-PG,70,2017,82
Power Rangers Dino Charge,TV-Y7,41,2015,82
PokÃ©mon: XY,TV-Y7-FV,42,2015,80
Power Rangers Dino Super Charge,TV-Y7,41,2016,82
The Deep,TV-Y7,41,2015,82
Skylanders Academy,TV-Y7,41,2016,82
Marvel's Hulk: Where Monsters Dwell,PG,60,2016,82
Growing Up Wild,G,35,2016,80
The Little Rascals,PG,60,1994,80
Flubber,PG,60,1997,80
Tarzan,G,35,1999,80
The Emperor's New Groove,G,35,2000,80
Scooby-Doo,PG,60,2002,80
Lilo & Stitch,PG,60,2002,80
Scooby-Doo 2: Monsters Unleashed,PG,60,2004,80
The Three Musketeers,G,35,2004,82
Mickey's Twice Upon a Christmas,G,35,2004,82
The Pacifier,PG,60,2005,80
Chicken Little,G,35,2005,80
Teenage Mutant Ninja Turtles,PG,60,2007,82
Bee Movie,PG,60,2007,80
Kung Fu Panda,PG,60,2008,80
Coraline,PG,60,2009,80
Cars Toons: Mater's Tall Tales,TV-G,35,2010,80
Phineas and Ferb,TV-G,35,2012,80
Super Why!,TV-Y,10,2015,80
Jessie,TV-G,35,2015,80
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,35,2009,82
Lab Rats,TV-Y7,41,2016,80
Masha and the Bear,TV-Y,10,2013,80
Pocoyo,TV-Y,10,2007,80
Home,PG,60,2015,80
Chuggington,TV-Y,10,2015,82
Octonauts,TV-Y,10,2015,82
Dragons: Race to the Edge,TV-Y7-FV,42,2017,80
Mother Goose Club,TV-Y,10,2016,82
Little Einsteins,TV-Y,10,2007,80
Hotel Transylvania 2,PG,60,2015,80
Dawn of the Croods,TV-Y7,41,2017,80
Dinotrux,TV-Y7-FV,42,2017,82
Goosebumps,PG,60,2015,80
Kung Fu Panda 3,PG,60,2016,80
Zootopia,PG,60,2016,80
The Jungle Book,PG,60,2016,80
Home: Adventures with Tip & Oh,TV-Y7,41,2017,82
Open Season: Scared Silly,PG,60,2015,80
The Land Before Time XIV: Journey of the Brave,G,35,2016,82
The Angry Birds Movie,PG,60,2016,80
Alice Through the Looking Glass,PG,60,2016,80
Finding Dory,PG,60,2016,80
The Secret Life of Pets,PG,60,2016,81
Ask the StoryBots,TV-Y,10,2016,82
The Furchester Hotel,TV-Y,10,2015,82
Goldie & Bear,TV-Y,10,2016,80
Little Baby Bum: Nursery Rhyme Friends,TV-Y,10,2016,82
Angry Birds,TV-G,35,2013,82
Tayo the Little Bus,TV-Y,10,2014,82
Talking Tom and Friends,TV-G,35,2016,80
The Little Rascals,PG,60,1994,80
Antz,PG,60,1998,80
Tarzan,G,35,1999,80
